COG_letter	COG_description	COG_category	COG_number	annotation	cluster
C	FoF1-type ATP synthase, beta subunit	Energy production and conversion	COG0055	C:[Energy production and conversion]	4
J	Alanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0013	J:[Translation, ribosomal structure and biogenesis]	4
P	ABC-type phosphate transport system, permease component	Inorganic ion transport and metabolism	COG0581	P:[Inorganic ion transport and metabolism]	4
K	dsRNA-specific ribonuclease	Transcription	COG0571	K:[Transcription]	4
G	Glucose-6-phosphate isomerase	Carbohydrate transport and metabolism	COG0166	G:[Carbohydrate transport and metabolism]	4
J	MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	Translation, ribosomal structure and biogenesis	COG2001	J:[Translation, ribosomal structure and biogenesis]	4
J	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	Translation, ribosomal structure and biogenesis	COG0809	J:[Translation, ribosomal structure and biogenesis]	4
K	Transcription antitermination protein NusB	Transcription	COG0781	K:[Transcription]	4
J	Ribosomal protein S15P/S13E	Translation, ribosomal structure and biogenesis	COG0184	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosome-binding factor RbfA	Translation, ribosomal structure and biogenesis	COG0858	J:[Translation, ribosomal structure and biogenesis]	4
H	FAD synthase	Coenzyme transport and metabolism	COG0196	H:[Coenzyme transport and metabolism]	4
J	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor	Translation, ribosomal structure and biogenesis	COG0816	J:[Translation, ribosomal structure and biogenesis]	4
O	Trigger factor Tig, ribosome-bound chaperone (peptidyl-prolyl cis-trans isomerase)	Posttranslational modification, protein turnover, chaperones	COG0544	O:[Posttranslational modification, protein turnover, chaperones]	4
T	Predicted membrane GTPase TypA/BipA involved in stress response	Signal transduction mechanisms	COG1217	T:[Signal transduction mechanisms]	4
J	Ribosomal protein L28	Translation, ribosomal structure and biogenesis	COG0227	J:[Translation, ribosomal structure and biogenesis]	4
L	Holliday junction resolvasome RuvABC DNA-binding subunit	Replication, recombination and repair	COG0632	L:[Replication, recombination and repair]	4
L	Exonuclease VII, large subunit	Replication, recombination and repair	COG1570	L:[Replication, recombination and repair]	4
M	UDP-N-acetylenolpyruvoylglucosamine reductase	Cell wall/membrane/envelope biogenesis	COG0812	M:[Cell wall/membrane/envelope biogenesis]	4
H	Nicotinate-nucleotide pyrophosphorylase	Coenzyme transport and metabolism	COG0157	H:[Coenzyme transport and metabolism]	4
L	DNA polymerase III, gamma/tau subunits	Replication, recombination and repair	COG2812	L:[Replication, recombination and repair]	4
G	Enolase	Carbohydrate transport and metabolism	COG0148	G:[Carbohydrate transport and metabolism]	4
L	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	Replication, recombination and repair	COG1354	L:[Replication, recombination and repair]	4
J	Valyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0525	J:[Translation, ribosomal structure and biogenesis]	4
L	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB	Replication, recombination and repair	COG2255	L:[Replication, recombination and repair]	4
J	Ribosomal protein S6	Translation, ribosomal structure and biogenesis	COG0360	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L17	Translation, ribosomal structure and biogenesis	COG0203	J:[Translation, ribosomal structure and biogenesis]	4
F	Phosphoribosylamine-glycine ligase	Nucleotide transport and metabolism	COG0151	F:[Nucleotide transport and metabolism]	4
M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	Cell wall/membrane/envelope biogenesis	COG0449	M:[Cell wall/membrane/envelope biogenesis]	4
J	Ribosomal protein S19	Translation, ribosomal structure and biogenesis	COG0185	J:[Translation, ribosomal structure and biogenesis]	4
J	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	Translation, ribosomal structure and biogenesis	COG0319	J:[Translation, ribosomal structure and biogenesis]	4
K	Chromosome segregation and condensation protein ScpB	Transcription	COG1386	K:[Transcription]	4
J	Protein chain release factor RF1	Translation, ribosomal structure and biogenesis	COG0216	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosome recycling factor	Translation, ribosomal structure and biogenesis	COG0233	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L27	Translation, ribosomal structure and biogenesis	COG0211	J:[Translation, ribosomal structure and biogenesis]	4
L	Primosomal protein N' (replication factor Y) - superfamily II helicase	Replication, recombination and repair	COG1198	L:[Replication, recombination and repair]	4
L	Recombinational DNA repair protein RecR	Replication, recombination and repair	COG0353	L:[Replication, recombination and repair]	4
J	Ribosomal protein L23	Translation, ribosomal structure and biogenesis	COG0089	J:[Translation, ribosomal structure and biogenesis]	4
K	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	Transcription	COG0202	K:[Transcription]	4
J	Ribosomal protein L21	Translation, ribosomal structure and biogenesis	COG0261	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L19	Translation, ribosomal structure and biogenesis	COG0335	J:[Translation, ribosomal structure and biogenesis]	4
J	tRNA G37 N-methylase TrmD	Translation, ribosomal structure and biogenesis	COG0336	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L9	Translation, ribosomal structure and biogenesis	COG0359	J:[Translation, ribosomal structure and biogenesis]	4
J	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	Translation, ribosomal structure and biogenesis	COG1185	J:[Translation, ribosomal structure and biogenesis]	4
O	ATP-dependent protease Clp, ATPase subunit ClpX	Posttranslational modification, protein turnover, chaperones	COG1219	O:[Posttranslational modification, protein turnover, chaperones]	4
L	DNA polymerase III, delta subunit	Replication, recombination and repair	COG1466	L:[Replication, recombination and repair]	4
L	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	Replication, recombination and repair	COG0758	L:[Replication, recombination and repair]	4
J	Ribosomal protein S20	Translation, ribosomal structure and biogenesis	COG0268	J:[Translation, ribosomal structure and biogenesis]	4
O	tmRNA-binding protein	Posttranslational modification, protein turnover, chaperones	COG0691	O:[Posttranslational modification, protein turnover, chaperones]	4
J	Ribosomal protein L29	Translation, ribosomal structure and biogenesis	COG0255	J:[Translation, ribosomal structure and biogenesis]	4
J	Translation elongation factor EF-4, membrane-bound GTPase	Translation, ribosomal structure and biogenesis	COG0481	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S4 or related protein	Translation, ribosomal structure and biogenesis	COG0522	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L20	Translation, ribosomal structure and biogenesis	COG0292	J:[Translation, ribosomal structure and biogenesis]	4
U	Preprotein translocase subunit SecY	Intracellular trafficking, secretion, and vesicular transport	COG0201	U:[Intracellular trafficking, secretion, and vesicular transport]	4
J	Ribosomal protein L11	Translation, ribosomal structure and biogenesis	COG0080	J:[Translation, ribosomal structure and biogenesis]	4
J	Translation initiation factor IF-2, a GTPase	Translation, ribosomal structure and biogenesis	COG0532	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L10	Translation, ribosomal structure and biogenesis	COG0244	J:[Translation, ribosomal structure and biogenesis]	4
L	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	Replication, recombination and repair	COG0592	L:[Replication, recombination and repair]	4
J	Peptidyl-tRNA hydrolase	Translation, ribosomal structure and biogenesis	COG0193	J:[Translation, ribosomal structure and biogenesis]	4
J	Leucyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0495	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S11	Translation, ribosomal structure and biogenesis	COG0100	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S2	Translation, ribosomal structure and biogenesis	COG0052	J:[Translation, ribosomal structure and biogenesis]	4
J	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase  RsmA/KsgA/DIM  and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)	Translation, ribosomal structure and biogenesis	COG0030	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S7	Translation, ribosomal structure and biogenesis	COG0049	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L3	Translation, ribosomal structure and biogenesis	COG0087	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L4	Translation, ribosomal structure and biogenesis	COG0088	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L14	Translation, ribosomal structure and biogenesis	COG0093	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L5	Translation, ribosomal structure and biogenesis	COG0094	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S8	Translation, ribosomal structure and biogenesis	COG0096	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L6P/L9E	Translation, ribosomal structure and biogenesis	COG0097	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S5	Translation, ribosomal structure and biogenesis	COG0098	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L13	Translation, ribosomal structure and biogenesis	COG0102	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S9	Translation, ribosomal structure and biogenesis	COG0103	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L15	Translation, ribosomal structure and biogenesis	COG0200	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L18	Translation, ribosomal structure and biogenesis	COG0256	J:[Translation, ribosomal structure and biogenesis]	4
L	Excinuclease UvrABC helicase subunit UvrB	Replication, recombination and repair	COG0556	L:[Replication, recombination and repair]	4
J	Ribosomal protein S10	Translation, ribosomal structure and biogenesis	COG0051	J:[Translation, ribosomal structure and biogenesis]	4
K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	Transcription	COG0086	K:[Transcription]	4
J	Ribosomal protein L1	Translation, ribosomal structure and biogenesis	COG0081	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L2	Translation, ribosomal structure and biogenesis	COG0090	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L22	Translation, ribosomal structure and biogenesis	COG0091	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S17	Translation, ribosomal structure and biogenesis	COG0186	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L16/L10AE	Translation, ribosomal structure and biogenesis	COG0197	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein L24	Translation, ribosomal structure and biogenesis	COG0198	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S3	Translation, ribosomal structure and biogenesis	COG0092	J:[Translation, ribosomal structure and biogenesis]	4
G	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	Carbohydrate transport and metabolism	COG0574	G:[Carbohydrate transport and metabolism]	4
J	Phenylalanyl-tRNA synthetase alpha subunit	Translation, ribosomal structure and biogenesis	COG0016	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosome-binding ATPase YchF, GTP1/OBG family	Translation, ribosomal structure and biogenesis	COG0012	J:[Translation, ribosomal structure and biogenesis]	4
J	Histidyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0124	J:[Translation, ribosomal structure and biogenesis]	4
F	CTP synthase (UTP-ammonia lyase)	Nucleotide transport and metabolism	COG0504	F:[Nucleotide transport and metabolism]	4
K	Transcription antitermination factor NusA, contains S1 and KH domains	Transcription	COG0195	K:[Transcription]	4
J	Ribosomal protein S12	Translation, ribosomal structure and biogenesis	COG0048	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S16	Translation, ribosomal structure and biogenesis	COG0228	J:[Translation, ribosomal structure and biogenesis]	4
J	16S rRNA C1402 N4-methylase RsmH	Translation, ribosomal structure and biogenesis	COG0275	J:[Translation, ribosomal structure and biogenesis]	4
H	Dephospho-CoA kinase	Coenzyme transport and metabolism	COG0237	H:[Coenzyme transport and metabolism]	4
E	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Amino acid transport and metabolism	COG0075	E:[Amino acid transport and metabolism]	4
K	Transcription termination factor Rho	Transcription	COG1158	K:[Transcription]	4
L	DNA primase (bacterial type)	Replication, recombination and repair	COG0358	L:[Replication, recombination and repair]	4
J	tRNA A37 threonylcarbamoyltransferase TsaD	Translation, ribosomal structure and biogenesis	COG0533	J:[Translation, ribosomal structure and biogenesis]	4
J	Ribosomal protein S13	Translation, ribosomal structure and biogenesis	COG0099	J:[Translation, ribosomal structure and biogenesis]	4
J	Tryptophanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	COG0180	J:[Translation, ribosomal structure and biogenesis]	4
H	Biotin-protein ligase	Coenzyme transport and metabolism	COG0340	H:[Coenzyme transport and metabolism]	4
J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	Translation, ribosomal structure and biogenesis	COG0721	J:[Translation, ribosomal structure and biogenesis]	4
H	Thiamine monophosphate kinase	Coenzyme transport and metabolism	COG0611	H:[Coenzyme transport and metabolism]	4
L	Replicative DNA helicase	Replication, recombination and repair	COG0305	L:[Replication, recombination and repair]	4
L	Chromosomal replication initiation ATPase DnaA	Replication, recombination and repair	COG0593	L:[Replication, recombination and repair]	4
